student_id,iq_test_marks,study_hours_per_day,extra_activity,time_spent_on_extra_activity_hrs,attended_academic_activity,courses_count,attendance_percentage,kan_marks,english_marks,maths_marks,chemistry_marks,biology_or_cs_marks,physics_marks,average_marks,capability_score,result,confidence
18,62.6,0.9,No,0.8,No,2,76.1,43.9,49.5,69.2,92.0,58.4,51.9,60.8,0.5012,Fail,Low
19,100.0,0.0,No,1.2,No,2,72.8,87.0,100.0,87.5,65.5,80.2,56.9,79.5,0.6783,Pass,High
20,61.2,1.47,No,0.0,No,2,67.1,53.8,68.7,45.5,80.0,69.0,64.6,63.6,0.5103,Fail,Low
21,59.2,2.91,No,1.2,No,7,82.0,46.1,78.0,65.1,72.9,43.1,56.4,60.3,0.5944,Pass,Medium
22,79.5,2.15,No,1.2,No,2,76.5,75.3,84.1,89.4,68.6,80.4,83.6,80.2,0.6665,Pass,High
23,100.0,0.0,Yes,2.7,Yes,2,77.9,84.2,78.6,83.6,75.3,78.1,100.0,83.3,0.7472,Pass,High
24,49.6,1.81,No,0.4,No,1,84.3,45.8,41.4,52.7,34.6,40.6,83.6,49.8,0.4746,Fail,Low
25,58.5,1.62,No,0.4,No,3,77.3,69.9,68.0,38.8,65.1,70.7,46.0,59.8,0.514,Fail,Medium
26,72.5,0.24,Yes,0.5,Yes,2,73.3,69.1,79.4,72.2,65.7,73.3,47.5,67.9,0.584,Pass,Medium
27,76.1,1.84,No,0.7,No,0,78.1,100.0,81.7,81.3,86.4,84.8,90.6,87.5,0.6284,Pass,Medium
28,80.5,1.22,No,1.1,No,3,70.7,44.5,76.8,77.2,76.8,75.0,55.4,67.6,0.6212,Pass,Medium
29,70.0,0.69,No,0.1,No,4,72.4,73.9,51.1,71.5,55.6,58.0,63.3,62.2,0.5322,Fail,Medium
30,96.9,1.15,No,0.8,No,3,74.9,59.3,86.6,90.6,94.4,88.1,78.7,83.0,0.7196,Pass,High
31,55.7,0.36,Yes,2.6,No,3,67.1,46.0,52.7,65.3,52.0,44.1,53.0,52.2,0.4696,Fail,Low
32,53.4,1.75,No,0.3,No,3,68.9,36.3,52.5,55.4,41.4,69.7,68.6,54.0,0.4813,Fail,Low
33,22.6,0.0,No,0.0,No,4,67.1,38.1,7.2,35.7,12.1,0.0,20.0,18.8,0.2077,Fail,Low
34,32.8,1.26,No,0.1,Yes,0,63.1,23.9,34.4,58.9,50.8,31.2,30.7,38.3,0.3431,Fail,Low
35,52.8,0.55,Yes,8.0,No,6,66.3,69.7,29.9,65.5,59.4,40.3,69.8,55.8,0.4781,Fail,Low
36,81.2,0.0,Yes,2.1,No,4,79.6,83.9,74.8,75.7,57.5,73.7,89.5,75.8,0.617,Pass,Medium
37,44.7,1.12,No,0.5,No,5,64.7,35.9,33.1,56.8,38.6,38.7,36.7,40.0,0.3964,Fail,Low
38,72.4,1.17,Yes,0.5,No,2,72.7,70.0,61.6,66.0,76.1,93.2,71.6,73.1,0.6094,Pass,Medium
39,48.7,0.0,Yes,3.7,Yes,3,67.8,33.8,69.5,55.0,54.0,61.0,23.2,49.4,0.433,Fail,Low
40,76.7,0.0,No,0.6,No,1,73.2,62.5,62.9,56.8,53.2,74.3,82.3,65.3,0.5362,Fail,Medium
41,22.8,1.81,Yes,5.0,Yes,3,77.2,35.4,49.5,41.7,44.3,41.7,62.6,45.9,0.3808,Fail,Low
42,66.0,2.33,Yes,5.1,No,2,82.4,65.2,67.5,78.5,58.8,77.1,65.7,68.8,0.6502,Pass,High
43,39.2,0.77,Yes,2.4,Yes,1,58.6,56.7,33.7,48.7,49.4,25.6,61.6,46.0,0.3995,Fail,Low
44,50.6,0.91,Yes,3.4,Yes,4,71.7,55.2,52.6,52.6,62.7,81.1,63.1,61.2,0.4943,Fail,Low
45,43.9,1.3,Yes,0.5,No,2,69.6,58.1,53.2,48.9,48.9,64.7,55.9,55.0,0.4418,Fail,Low
46,75.7,1.07,No,0.6,No,2,71.9,80.3,76.4,81.9,85.7,77.3,65.2,77.8,0.5836,Pass,Medium
47,77.6,0.53,Yes,3.2,No,3,74.6,66.5,78.1,76.7,57.8,73.1,66.8,69.8,0.6184,Pass,Medium
48,54.9,1.01,Yes,2.8,No,1,71.3,60.1,48.1,52.9,46.6,62.9,31.4,50.3,0.4994,Fail,Low
49,76.6,1.3,No,0.0,No,2,73.1,54.9,74.6,76.2,60.4,73.6,53.3,65.5,0.6002,Pass,Medium
50,97.0,0.0,No,0.8,No,2,77.4,72.9,77.3,100.0,78.7,86.8,82.8,83.1,0.6639,Pass,High
51,71.4,0.47,No,0.1,No,2,73.4,75.1,62.1,59.7,64.5,63.6,71.0,66.0,0.5281,Fail,Medium
52,74.9,1.66,Yes,1.9,No,4,67.0,84.6,69.4,68.9,88.6,77.4,94.4,80.6,0.6492,Pass,High
53,69.8,0.0,No,0.8,No,2,69.4,54.7,60.8,54.2,46.7,86.7,28.0,55.2,0.4927,Fail,Low
54,90.1,1.12,Yes,1.7,No,3,65.2,98.4,59.4,75.4,100.0,73.3,76.9,80.6,0.7098,Pass,High
55,96.5,1.79,Yes,3.7,No,3,85.4,74.4,91.2,83.4,100.0,91.1,98.2,89.7,0.8069,Pass,High
56,51.6,1.79,Yes,5.2,No,3,45.8,52.8,76.9,82.5,83.2,68.8,77.1,73.6,0.5016,Fail,Low
57,39.0,1.2,No,0.0,No,2,73.6,29.5,35.0,43.1,33.9,43.4,37.4,37.1,0.3701,Fail,Low
58,70.4,1.13,No,0.0,No,4,64.6,39.9,75.0,67.2,65.3,63.1,70.7,63.5,0.5485,Fail,Medium
59,85.2,0.05,No,0.2,Yes,6,65.6,61.5,79.0,60.6,64.7,60.9,49.3,62.7,0.6073,Pass,Medium
60,56.8,0.57,No,0.1,No,2,56.2,53.0,50.5,38.4,50.8,40.1,51.4,47.4,0.4282,Fail,Low
61,87.3,1.03,Yes,2.4,No,3,64.1,70.6,78.9,85.3,84.6,82.4,100.0,83.6,0.6891,Pass,High
62,69.8,1.83,No,0.5,No,1,70.3,64.3,68.1,77.5,84.0,83.8,47.2,70.8,0.5831,Pass,Medium
63,71.0,0.0,No,0.0,No,7,72.7,54.5,57.4,69.3,51.1,54.2,65.4,58.6,0.5074,Fail,Low
64,83.4,0.54,Yes,4.2,Yes,2,67.5,80.6,85.3,53.1,57.0,61.8,100.0,73.0,0.6679,Pass,High
65,87.1,0.49,Yes,2.5,No,3,60.9,81.8,78.8,64.0,83.3,73.4,92.3,78.9,0.658,Pass,High
66,50.9,1.49,No,0.0,No,5,66.3,60.2,32.2,47.0,49.9,53.4,59.0,50.3,0.4524,Fail,Low
67,69.5,1.89,Yes,1.1,Yes,4,80.2,92.7,100.0,82.4,60.9,87.0,67.3,81.7,0.6594,Pass,High
68,23.9,2.46,No,0.1,No,0,70.0,24.5,50.3,31.3,58.0,44.0,13.6,36.9,0.3366,Fail,Low
69,57.0,0.0,Yes,4.1,No,6,73.3,43.5,19.0,65.7,65.8,61.7,58.5,52.4,0.473,Fail,Low
70,45.6,2.65,No,0.2,No,5,75.3,53.1,63.1,58.1,62.6,45.2,66.3,58.1,0.4882,Fail,Low
71,43.3,1.63,No,0.6,No,0,69.0,68.1,38.7,43.4,24.0,35.9,50.4,43.4,0.4118,Fail,Low
72,91.5,1.11,No,0.6,No,2,89.2,77.8,57.4,61.9,93.9,85.5,66.6,73.9,0.6977,Pass,High
73,84.5,0.3,Yes,6.3,No,2,84.3,67.9,71.8,79.3,81.0,99.1,86.8,81.0,0.6646,Pass,High
74,83.8,0.0,No,0.1,No,1,55.7,83.5,66.8,62.4,45.9,55.3,67.7,63.6,0.56,Fail,Medium
75,90.0,1.48,Yes,5.7,No,2,81.9,100.0,72.1,82.7,100.0,91.7,74.8,86.9,0.7526,Pass,High
76,59.9,0.49,No,1.0,No,5,62.1,41.7,45.4,52.5,61.2,43.2,47.2,48.5,0.4548,Fail,Low
77,57.6,0.19,No,0.0,No,2,57.2,47.5,28.6,83.8,46.1,30.4,53.9,48.4,0.4148,Fail,Low
78,51.6,1.76,No,0.0,No,2,62.3,59.6,54.7,51.0,53.6,49.0,51.9,53.3,0.4624,Fail,Low
79,55.5,0.6,No,0.0,No,6,59.1,55.6,71.4,56.3,42.4,68.3,59.1,58.8,0.4296,Fail,Low
80,74.5,0.81,Yes,5.3,Yes,4,67.7,78.3,66.8,73.8,71.2,63.2,81.9,72.5,0.6335,Pass,Medium
81,71.0,0.61,Yes,1.3,No,2,67.2,94.2,44.3,35.1,64.4,53.9,69.7,60.3,0.5694,Fail,Medium
82,46.8,2.26,Yes,3.4,No,2,70.9,59.4,34.2,47.5,63.9,59.9,57.2,53.7,0.5157,Fail,Medium
83,86.3,0.0,Yes,3.1,No,4,64.0,67.9,83.8,85.2,61.4,71.7,65.2,72.5,0.6345,Pass,Medium
84,78.7,1.03,No,0.3,No,1,76.9,51.7,76.1,68.4,64.7,71.3,69.0,66.9,0.6026,Pass,Medium
85,90.2,0.98,Yes,4.6,No,2,63.3,73.5,72.9,75.6,92.7,73.0,83.3,78.5,0.7075,Pass,High
86,100.0,0.0,Yes,3.5,Yes,1,68.2,62.1,92.4,60.6,66.3,85.8,93.9,76.9,0.7382,Pass,High
87,50.0,1.18,No,0.4,No,8,78.2,40.4,46.9,58.9,57.4,53.1,34.8,48.6,0.4482,Fail,Low
88,87.0,1.23,Yes,2.3,No,1,64.0,98.9,85.6,79.4,88.6,89.5,67.6,84.9,0.6945,Pass,High
89,67.4,1.93,Yes,2.7,No,5,92.3,87.1,58.0,60.5,73.4,91.8,79.1,75.0,0.6462,Pass,High
90,88.2,1.43,No,1.2,No,2,78.8,80.0,85.8,62.1,72.4,79.5,57.7,72.9,0.685,Pass,High
91,73.8,1.26,No,0.6,No,5,62.9,48.6,80.4,62.3,47.0,63.4,46.4,58.0,0.5764,Fail,Medium
92,100.0,1.08,Yes,2.0,No,5,76.9,71.8,100.0,86.4,69.2,86.6,93.2,84.5,0.7822,Pass,High
93,67.7,0.0,Yes,6.6,No,5,79.8,61.9,58.0,90.8,55.0,64.0,61.5,65.2,0.5488,Fail,Medium
94,100.0,0.43,Yes,1.8,Yes,5,77.5,100.0,84.0,89.2,95.7,76.7,67.9,85.6,0.7697,Pass,High
95,70.6,0.6,No,1.3,No,4,77.5,55.8,67.6,46.0,74.0,61.2,65.4,61.7,0.5394,Fail,Medium
96,85.9,0.06,Yes,4.2,Yes,3,79.5,56.9,67.9,37.3,80.3,72.0,78.8,65.5,0.6722,Pass,High
97,72.4,0.89,No,0.0,No,2,64.5,60.4,88.6,72.3,63.9,54.4,54.8,65.7,0.5459,Fail,Medium
98,55.0,2.07,Yes,2.4,Yes,7,66.8,81.3,69.7,53.1,46.3,56.8,62.2,61.6,0.5751,Fail,Medium
99,81.7,0.0,No,0.0,No,4,81.6,61.5,81.7,44.8,73.2,65.7,64.4,65.2,0.5768,Fail,Medium
100,73.1,1.12,Yes,5.2,No,3,77.6,69.5,60.3,53.9,25.8,77.3,64.6,58.6,0.629,Pass,Medium
101,38.7,1.43,No,0.3,No,2,71.5,52.9,43.5,34.2,46.8,44.7,45.8,44.7,0.3784,Fail,Low
102,58.7,1.72,No,0.8,No,3,68.0,61.1,50.1,51.4,67.9,65.9,63.0,59.9,0.512,Fail,Low
103,69.3,1.5,No,0.3,No,3,74.6,74.9,62.2,48.9,67.6,86.3,76.1,69.3,0.5699,Fail,Medium
104,51.4,1.89,Yes,4.2,No,2,48.5,59.0,61.6,29.3,61.5,51.1,61.3,54.0,0.5044,Fail,Low
105,60.3,0.37,Yes,1.4,No,3,66.1,65.5,46.0,74.5,68.6,40.7,55.0,58.4,0.4936,Fail,Low
106,69.3,0.0,No,0.0,No,1,60.6,50.2,60.5,39.7,84.7,41.7,40.1,52.8,0.4776,Fail,Low
107,91.9,2.18,No,1.0,No,1,71.9,62.0,94.3,80.2,62.0,100.0,89.4,81.3,0.736,Pass,High
108,89.6,0.0,No,0.8,No,2,71.5,64.2,52.1,81.2,87.3,65.3,76.0,71.0,0.6136,Pass,Medium
109,58.2,0.0,Yes,3.1,Yes,1,46.4,45.5,44.5,72.4,45.2,57.5,50.8,52.6,0.4646,Fail,Low
110,100.0,0.0,No,0.4,No,1,74.4,69.8,84.8,69.9,65.5,86.6,73.4,75.0,0.6766,Pass,High
111,59.4,1.64,No,0.9,Yes,1,72.4,67.7,61.4,70.0,59.3,61.0,78.5,66.3,0.5343,Fail,Medium
112,79.1,1.56,No,0.4,No,3,69.6,70.1,81.8,81.0,74.3,85.8,55.3,74.7,0.627,Pass,Medium
113,88.6,0.89,No,0.3,No,4,69.8,76.7,100.0,77.2,79.0,67.1,92.4,82.1,0.6516,Pass,High
114,38.6,1.26,Yes,3.0,No,3,73.9,39.0,37.5,43.7,46.9,41.0,64.8,45.5,0.4198,Fail,Low
115,49.6,0.0,Yes,2.5,Yes,1,70.1,60.5,53.9,46.7,43.8,55.7,50.7,51.9,0.4352,Fail,Low
116,61.9,1.36,Yes,3.2,No,2,85.9,69.9,56.6,51.1,68.8,68.1,66.1,63.4,0.5758,Fail,Medium
117,74.4,0.0,No,1.0,No,7,74.9,67.0,42.5,53.1,60.9,58.4,80.4,60.4,0.5326,Fail,Medium
118,66.1,2.22,Yes,3.1,Yes,2,79.2,100.0,77.2,90.0,84.6,66.4,87.4,84.3,0.657,Pass,High
119,83.4,0.55,Yes,4.8,Yes,3,66.6,79.7,59.2,69.1,74.1,64.3,63.9,68.4,0.6702,Pass,High
120,37.0,2.06,No,0.3,No,3,87.4,46.1,48.1,45.0,45.6,67.0,42.2,49.0,0.4169,Fail,Low
121,24.9,1.55,No,1.0,No,3,70.6,44.5,27.6,38.2,22.9,38.9,45.5,36.3,0.3038,Fail,Low
122,46.7,1.69,No,0.6,No,1,62.0,63.5,22.8,46.7,45.8,68.2,20.4,44.6,0.4294,Fail,Low
123,77.1,0.0,Yes,5.3,No,3,66.4,82.7,64.6,37.9,80.7,67.5,46.2,63.3,0.586,Pass,Medium
124,84.0,0.91,Yes,3.3,Yes,1,76.3,65.6,84.1,66.8,73.5,63.2,80.1,72.2,0.6953,Pass,High
125,64.5,1.34,No,0.9,No,4,63.9,46.5,42.5,68.4,33.8,39.2,27.9,43.0,0.5252,Fail,Medium
126,67.2,0.0,Yes,4.3,No,5,65.8,72.6,15.7,43.0,72.8,51.9,58.5,52.4,0.526,Fail,Medium
127,72.2,2.3,Yes,4.7,No,4,71.5,65.3,63.4,71.5,100.0,72.6,77.5,75.0,0.6764,Pass,High
128,57.9,1.21,Yes,3.3,No,1,63.4,73.0,70.8,61.6,50.8,83.3,68.5,68.0,0.5208,Fail,Medium
129,61.7,0.91,No,0.9,No,2,72.6,32.3,66.1,48.0,60.6,35.9,62.3,50.9,0.493,Fail,Low
130,69.7,1.21,No,0.4,No,0,61.7,81.5,49.7,45.7,66.3,65.5,58.6,61.2,0.5414,Fail,Medium
131,45.5,1.27,Yes,2.8,No,1,60.4,58.4,77.0,46.9,40.5,57.1,54.5,55.7,0.4452,Fail,Low
132,34.0,0.28,No,1.0,No,1,74.5,24.6,0.0,52.3,33.2,12.7,33.0,26.0,0.2962,Fail,Low
133,100.0,1.15,No,0.6,No,6,78.4,83.8,86.1,91.1,77.2,80.3,79.9,83.1,0.7449,Pass,High
134,89.8,0.73,No,0.4,No,1,86.7,70.6,57.1,62.1,66.8,85.4,77.7,70.0,0.6642,Pass,High
135,79.2,0.78,No,0.0,No,1,79.0,65.5,46.3,78.6,69.7,79.6,57.9,66.3,0.5944,Pass,Medium
136,81.1,0.55,No,0.6,No,1,68.0,37.0,66.5,71.1,43.4,72.7,55.2,57.6,0.5848,Pass,Medium
137,96.1,1.27,Yes,0.6,No,3,97.2,88.4,75.8,97.5,94.6,100.0,78.7,89.2,0.7826,Pass,High
138,61.2,3.48,No,1.5,No,6,86.7,74.3,78.0,97.6,52.6,71.0,89.0,77.1,0.6392,Pass,Medium
139,64.0,0.07,Yes,2.3,No,3,63.1,81.8,72.0,64.1,34.5,40.3,53.7,57.7,0.5001,Fail,Low
140,80.0,0.35,No,0.8,No,2,71.3,62.6,68.9,74.9,75.9,52.6,63.8,66.4,0.5733,Fail,Medium
141,53.5,0.86,No,0.0,No,3,66.6,41.3,62.0,48.6,43.4,36.9,59.7,48.7,0.4344,Fail,Low
142,96.4,0.91,No,0.8,No,5,72.6,85.8,82.5,74.6,64.7,81.6,75.7,77.5,0.7048,Pass,High
143,80.2,1.91,No,0.7,No,2,85.4,73.9,68.4,69.2,70.9,62.3,97.2,73.6,0.6664,Pass,High
144,56.9,0.16,No,0.0,Yes,1,65.2,38.9,64.8,64.8,55.2,58.1,24.7,51.1,0.4358,Fail,Low
145,73.7,1.2,No,0.0,No,2,82.6,69.7,62.7,75.3,68.7,81.8,76.2,72.4,0.5873,Pass,Medium
146,62.2,1.5,No,0.7,No,6,61.7,57.0,43.4,56.0,39.6,35.8,54.6,47.7,0.5192,Fail,Medium
147,64.6,0.21,Yes,3.6,Yes,2,65.7,60.9,67.2,44.1,65.1,54.3,52.0,57.3,0.5353,Fail,Medium
148,69.7,2.1,Yes,4.5,Yes,2,59.6,69.6,83.8,51.7,85.9,84.0,72.1,74.5,0.6566,Pass,High
149,83.6,0.1,No,0.4,No,3,66.6,75.1,45.2,61.9,67.9,71.3,52.3,62.3,0.578,Pass,Medium
150,82.7,1.54,No,0.5,No,2,81.7,43.1,66.3,65.6,59.3,65.6,62.8,60.4,0.6587,Pass,High
151,54.9,1.46,No,1.0,No,0,80.2,73.4,50.3,56.5,50.7,59.6,70.8,60.2,0.4851,Fail,Low
152,84.4,0.05,No,0.5,No,1,74.5,74.9,86.8,61.5,71.1,69.0,69.7,72.2,0.5859,Pass,Medium
153,63.9,1.1,No,0.6,No,3,83.4,59.5,50.7,79.7,64.5,50.8,71.2,62.7,0.527,Fail,Medium
154,36.4,0.0,Yes,3.2,No,4,60.0,28.0,55.0,59.6,25.8,25.9,60.2,42.4,0.3314,Fail,Low
155,78.5,2.01,Yes,3.6,No,3,70.4,75.7,73.6,84.1,95.3,74.0,79.7,80.4,0.6946,Pass,High
156,38.7,0.88,Yes,3.1,Yes,2,61.7,53.1,51.3,38.5,23.3,49.2,54.2,44.9,0.4082,Fail,Low
157,62.7,1.36,No,0.0,Yes,5,61.3,51.7,21.0,63.8,70.7,48.1,84.1,56.6,0.5317,Fail,Medium
158,90.9,0.75,No,1.1,No,4,89.1,87.2,68.1,56.9,76.1,50.0,97.8,72.7,0.6798,Pass,High
159,94.4,0.35,No,0.0,No,3,67.7,83.0,79.6,70.5,95.6,100.0,66.9,82.6,0.6554,Pass,High
160,65.0,0.55,No,0.0,No,1,85.7,85.1,50.2,52.3,72.0,46.3,47.5,58.9,0.5045,Fail,Low
161,61.7,1.31,Yes,3.0,No,2,83.5,63.3,49.4,61.9,62.7,49.8,62.2,58.2,0.5692,Fail,Medium
162,67.7,1.27,Yes,3.2,No,1,69.0,45.2,57.3,78.2,83.1,61.2,63.9,64.8,0.588,Pass,Medium
163,33.1,1.26,Yes,5.6,No,3,59.9,45.8,65.6,25.3,57.3,46.4,0.0,40.1,0.3793,Fail,Low
164,100.0,1.02,Yes,5.4,No,2,87.6,72.8,90.4,96.9,100.0,79.4,81.9,86.9,0.7946,Pass,High
165,54.5,0.0,Yes,6.9,No,5,47.7,39.3,45.4,55.2,62.9,48.0,55.7,51.1,0.4382,Fail,Low
166,98.8,1.07,No,0.3,No,4,74.7,78.8,86.8,100.0,63.5,49.1,95.1,78.9,0.7268,Pass,High
167,67.8,0.98,Yes,0.7,Yes,2,71.0,56.5,84.0,79.0,62.9,53.1,65.7,66.9,0.591,Pass,Medium
168,94.5,2.2,Yes,7.0,Yes,2,94.0,88.5,100.0,100.0,96.8,93.5,96.5,95.9,0.851,Pass,High
169,100.0,1.13,Yes,4.4,No,3,72.7,88.5,74.7,100.0,87.3,80.8,93.0,87.4,0.784,Pass,High
170,84.9,1.75,No,0.7,No,5,78.9,62.3,72.2,64.9,91.7,89.9,72.3,75.6,0.6838,Pass,High
171,100.0,0.0,Yes,2.0,No,2,60.4,83.4,74.9,79.9,56.6,85.8,97.2,79.6,0.7079,Pass,High
172,56.4,1.39,Yes,3.2,Yes,1,49.4,68.6,55.6,40.0,72.9,53.9,63.9,59.2,0.5266,Fail,Medium
173,84.5,0.33,No,0.2,No,2,64.3,62.2,69.1,69.4,66.3,51.9,52.6,61.9,0.5908,Pass,Medium
174,52.6,1.15,No,0.0,No,2,83.1,62.1,44.8,70.6,59.3,60.3,71.8,61.5,0.4587,Fail,Low
175,45.7,1.64,Yes,4.5,No,2,80.8,54.5,48.3,44.8,69.2,48.8,61.6,54.5,0.4908,Fail,Low
176,60.6,0.66,Yes,5.9,No,5,82.5,78.1,75.7,60.6,51.5,62.9,55.3,64.0,0.5401,Fail,Medium
177,51.6,1.02,Yes,2.2,No,4,65.3,43.2,71.4,70.7,49.7,53.3,47.9,56.0,0.4764,Fail,Low
178,53.2,0.66,Yes,4.6,No,2,61.6,31.8,64.0,90.8,34.3,80.0,43.7,57.4,0.4678,Fail,Low
179,78.7,0.41,Yes,2.8,No,2,66.5,66.8,40.3,59.6,81.5,68.1,68.9,64.2,0.6087,Pass,Medium
180,58.8,0.83,No,0.6,No,5,66.3,63.1,61.1,47.8,45.6,54.7,29.4,50.3,0.4683,Fail,Low
181,58.7,0.0,No,0.0,No,4,63.3,38.6,46.0,43.9,35.2,30.1,39.9,38.9,0.4205,Fail,Low
182,62.5,1.21,Yes,0.5,Yes,5,68.9,58.1,71.6,67.0,75.4,59.9,55.9,64.6,0.5719,Fail,Medium
183,51.5,0.78,Yes,1.6,Yes,3,56.3,61.9,54.5,58.8,64.9,54.9,56.1,58.5,0.472,Fail,Low
184,100.0,0.54,No,0.2,No,1,70.1,69.8,78.5,70.6,68.4,71.8,72.2,71.9,0.6988,Pass,High
185,94.2,0.55,No,0.3,No,5,73.2,77.3,83.7,100.0,82.9,60.5,69.3,79.0,0.6729,Pass,High
186,95.4,1.12,No,0.0,No,4,78.1,78.6,94.6,98.4,85.1,80.6,91.9,88.2,0.7115,Pass,High
187,50.5,2.51,Yes,0.5,No,2,85.4,44.5,69.6,46.4,61.5,42.1,77.2,56.9,0.5576,Fail,Medium
188,57.3,1.26,No,0.1,No,6,80.2,41.1,86.3,43.8,50.3,78.1,70.0,61.6,0.4947,Fail,Low
189,62.1,0.38,No,0.3,No,4,73.9,55.8,63.6,56.9,48.2,46.1,31.6,50.4,0.4712,Fail,Low
190,64.2,0.9,No,0.2,No,1,72.3,68.8,43.5,56.6,69.2,58.7,83.5,63.4,0.5042,Fail,Low
191,55.3,2.12,Yes,3.0,No,5,79.3,42.7,40.5,42.9,83.4,62.6,83.1,59.2,0.5708,Fail,Medium
192,55.4,0.61,No,0.7,No,4,70.3,57.7,38.7,33.2,41.0,66.5,26.2,43.9,0.44,Fail,Low
193,86.8,1.81,Yes,2.7,No,1,74.7,97.8,77.5,94.7,90.8,81.6,61.5,84.0,0.734,Pass,High
194,75.3,0.0,Yes,1.1,No,6,74.8,57.5,69.8,77.2,60.4,85.9,60.5,68.6,0.5768,Fail,Medium
195,84.4,1.69,No,0.0,No,2,62.3,95.4,75.8,88.7,91.3,82.5,63.7,82.9,0.6557,Pass,High
196,88.2,0.05,Yes,1.2,Yes,5,71.3,100.0,100.0,83.5,80.8,63.3,53.2,80.1,0.6722,Pass,High
197,49.6,1.5,Yes,8.0,Yes,3,83.4,57.9,58.1,59.7,56.8,62.1,59.8,59.1,0.5397,Fail,Medium
198,41.7,0.78,No,0.0,No,2,76.4,11.4,58.3,19.5,31.5,61.2,56.3,39.7,0.3681,Fail,Low
199,95.9,0.92,No,0.0,No,7,89.6,100.0,94.3,91.0,81.3,91.5,66.6,87.4,0.7198,Pass,High
200,75.0,0.0,No,0.5,No,3,87.0,83.5,49.0,54.6,52.4,67.5,69.6,62.8,0.542,Fail,Medium
201,92.5,0.6,No,0.6,No,2,76.6,62.3,47.6,71.7,83.9,68.3,94.1,71.3,0.6656,Pass,High
202,58.6,2.01,No,0.0,No,7,71.7,50.3,53.6,70.9,43.7,62.4,38.4,53.2,0.5326,Fail,Medium
203,76.2,1.98,Yes,4.2,No,4,79.0,98.3,85.2,75.5,82.0,66.3,85.0,82.0,0.6907,Pass,High
204,58.5,0.55,No,0.0,No,2,63.5,55.2,59.5,54.4,38.7,43.2,63.1,52.4,0.4445,Fail,Low
205,46.6,1.18,Yes,2.8,No,3,71.0,48.5,53.7,65.6,61.6,50.7,63.0,57.2,0.4604,Fail,Low
206,53.5,0.0,No,0.0,No,3,71.0,29.9,45.0,40.0,48.9,34.7,57.9,42.7,0.3958,Fail,Low
207,17.1,2.18,No,1.4,No,3,57.7,32.6,40.0,30.4,42.1,37.1,42.1,37.4,0.2766,Fail,Low
208,66.9,2.34,No,0.7,No,1,71.0,59.4,78.7,53.6,71.3,68.0,53.0,64.0,0.5924,Pass,Medium
209,55.0,2.27,No,1.4,No,1,78.8,30.6,66.5,62.2,66.7,74.4,51.6,58.7,0.527,Fail,Medium
210,67.3,1.36,Yes,1.0,No,5,68.1,73.1,70.2,79.0,91.4,51.1,68.9,72.3,0.5886,Pass,Medium
211,99.1,1.45,Yes,4.1,No,1,72.7,91.6,89.6,100.0,84.8,81.3,100.0,91.2,0.7913,Pass,High
